seed,train_mae,train_rmse,train_inference_time_secs,test_mae,test_rmse,test_inference_time_secs
0,0.0013408516970612188,0.0017607324181780123,2.63518987497082,0.0015791847190566078,0.002170478295979745,4.442987415997777
1,0.0008438658249609623,0.0012670039843527346,2.2764169159927405,0.0011194534211958454,0.0017977428105048652,4.255825833010022
2,0.015649687179811748,0.018955154662246003,2.3594137080363,0.01783339669693326,0.02218287675457427,4.170041667006444
3,0.0014847114328597416,0.002079498252967499,2.335211875033565,0.0020760345253764854,0.0032585836176283623,4.755285791005008
4,0.0009899317817922127,0.0015321760459163654,2.343340083025396,0.0012902115241129586,0.0020784129851311255,4.36886141699506
5,0.0009822899473765179,0.0015374929314553615,2.223715166968759,0.0013110822624702741,0.0021040381434656507,4.026251041970681
6,0.0009913270530281153,0.0015232088355642366,2.252364333020523,0.0013429331221222003,0.0022180572646672077,4.299920333025511
7,0.0012090008353588609,0.0017728479201000592,2.352737875015009,0.0016356573909464083,0.0025770874112809226,4.493933207995724
8,0.0010403211330120054,0.0015418088878634039,2.329526125045959,0.0013767169202272206,0.002231804323657263,4.293275290983729
9,0.0010189454953828268,0.001563773062615199,2.4097026250092313,0.0013788131038793114,0.0021637777923959964,4.3536642079707235
10,0.001068640419230333,0.0017003763508007576,2.440194041992072,0.0014259693905972857,0.0022497315822215683,4.538796166016255
11,0.0011140110760577426,0.0016447040691542644,2.1473860000260174,0.0014792211183945706,0.002220899796258787,4.121659209020436
12,0.0008783053857231859,0.0013465218881923051,2.17615258396836,0.0011544000670263357,0.0019245995688264529,4.058324125013314
13,0.0008505350398932241,0.001344420323382356,2.181247833999805,0.0010809849819521965,0.001793510630250898,4.362417624972295
14,0.0013100288046225606,0.001754128212299476,2.168857082957402,0.001736824352900505,0.0025042712938366384,4.300869541009888
15,0.0009023291306177203,0.0014093720907786909,2.0951742499601096,0.0012140427838794037,0.0019571816869138935,4.009296583011746
16,0.001134293657098569,0.0015808205298628527,2.2860333750140853,0.001497439103550226,0.0021490059456484127,4.034718584036455
