number,value,datetime_start,datetime_complete,duration,params_width_idx,test_rmse,val_rmse,system_attrs_grid_id,system_attrs_search_space,state
0,0.19617005166163384,2026-06-18 17:28:38.383869,2026-06-18 17:29:32.321327,53.937458,2,0.176962994830614,0.19617005166163384,0,"{'width_idx': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]}",COMPLETE
1,0.33650993930680856,2026-06-18 17:29:32.323218,2026-06-18 17:30:33.006936,60.683718,8,0.23394815410503134,0.33650993930680856,1,"{'width_idx': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]}",COMPLETE
2,0.5374405818613242,2026-06-18 17:30:33.008637,2026-06-18 17:31:29.055975,56.047338,4,0.1793156558745426,0.5374405818613242,2,"{'width_idx': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]}",COMPLETE
3,0.6738943457177287,2026-06-18 17:31:29.057507,2026-06-18 17:32:29.413122,60.355615,9,0.3327587906294247,0.6738943457177287,3,"{'width_idx': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]}",COMPLETE
4,0.18658586972299981,2026-06-18 17:32:29.414663,2026-06-18 17:33:19.624891,50.210228,1,0.18143037481451252,0.18658586972299981,4,"{'width_idx': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]}",COMPLETE
5,0.34739830839481795,2026-06-18 17:33:19.626463,2026-06-18 17:34:20.800476,61.174013,6,0.674302197327682,0.34739830839481795,5,"{'width_idx': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]}",COMPLETE
6,0.3828771094621537,2026-06-18 17:34:20.802045,2026-06-18 17:35:16.166081,55.364036,7,0.9470789841857937,0.3828771094621537,6,"{'width_idx': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]}",COMPLETE
7,0.18360287586881027,2026-06-18 17:35:16.167799,2026-06-18 17:36:07.747243,51.579444,3,0.19458117816970857,0.18360287586881027,7,"{'width_idx': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]}",COMPLETE
8,0.17745908078074665,2026-06-18 17:36:07.749113,2026-06-18 17:36:52.224965,44.475852,0,0.17841729027058878,0.17745908078074665,8,"{'width_idx': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]}",COMPLETE
9,0.6443867487114059,2026-06-18 17:36:52.226499,2026-06-18 17:37:47.537615,55.311116,5,4.0345073574320915,0.6443867487114059,9,"{'width_idx': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]}",COMPLETE
