,layer_width,sgkan_swim_train_rmse,sgkan_swim_test_rmse,sgkan_random_train_rmse,sgkan_random_test_rmse,hkan_train_rmse,hkan_test_rmse
0,2,0.1606093891369162,0.16309497226774144,0.16051586016529334,0.1631405446912865,0.0413471783366608,0.04236454530151252
1,10,0.1257823703851735,0.12779478181345907,0.14104820341619068,0.14428722870922,0.015137948488707326,0.015642043851827513
2,25,0.1365575334058504,0.14193066672747923,0.12926519699452177,0.132831696517707,0.013114479082904036,0.014788938882308386
3,50,0.10202396141340435,0.1081215187961025,0.08870245830967552,0.09320862634180013,0.010605683057813696,0.011088738748514208
4,100,0.09109606456045287,0.09644195449214789,0.04563424492577064,0.0466607253802944,0.00623892788399674,0.006402223071189644
5,250,0.01642881950328927,0.01858317462131426,0.012463990615435181,0.013427697293790104,6.282190237289463e-05,6.803965260309976e-05
6,500,0.0046018344571096235,0.0056317523740135765,0.0035814999246592725,0.00430740885535607,1.1274984347564248e-05,1.0211118026333655e-05
7,750,0.0021343555931691897,0.0028185803502323715,0.0019904315384198573,0.002485906139867155,9.450206633857763e-06,6.387866356680427e-06
8,1000,0.0012731507914156364,0.0019306660561716465,0.001383050799214153,0.0021513024675358294,9.2675006136537e-06,5.851930908938563e-06
