number,value,datetime_start,datetime_complete,duration,params_alpha_edge,params_alpha_neuron,params_kernel_type,params_layer_width,params_num_inducing,user_attrs_alpha_edge,user_attrs_alpha_neuron,fit_duration_sec,kernel_type,user_attrs_layer_width,user_attrs_num_inducing,sigma_scale,val_rmse,system_attrs_grid_id,system_attrs_search_space,state,test_rmse
0,0.0014591473903709067,2026-08-06 22:20:35.403830,2026-08-06 22:20:59.925811,24.521981,0.001,0,matern,1000,50,0.001,0,22.43504887500012,matern,1000,50,1,0.0014591473903709067,0,"{'alpha_edge': [0, 0.001, 0.1, 1, 10], 'alpha_neuron': [0], 'kernel_type': ['rbf', 'matern', 'periodic'], 'layer_width': [100, 250, 500, 750, 1000], 'num_inducing': [10, 25, 50, 75, 100]}",COMPLETE,
1,0.012661819578459625,2026-08-06 22:20:59.930279,2026-08-06 22:21:14.507539,14.57726,1.0,0,periodic,1000,25,1.0,0,13.081315417000042,periodic,1000,25,1,0.012661819578459625,1,"{'alpha_edge': [0, 0.001, 0.1, 1, 10], 'alpha_neuron': [0], 'kernel_type': ['rbf', 'matern', 'periodic'], 'layer_width': [100, 250, 500, 750, 1000], 'num_inducing': [10, 25, 50, 75, 100]}",COMPLETE,
2,0.005900311307998708,2026-08-06 22:21:14.510779,2026-08-06 22:21:23.848313,9.337534,10.0,0,rbf,500,50,10.0,0,8.663303042000052,rbf,500,50,1,0.005900311307998708,2,"{'alpha_edge': [0, 0.001, 0.1, 1, 10], 'alpha_neuron': [0], 'kernel_type': ['rbf', 'matern', 'periodic'], 'layer_width': [100, 250, 500, 750, 1000], 'num_inducing': [10, 25, 50, 75, 100]}",COMPLETE,
3,0.02113944085036997,2026-08-06 22:21:23.908627,2026-08-06 22:21:27.309407,3.40078,0.1,0,periodic,500,10,0.1,0,3.0702644590001,periodic,500,10,1,0.02113944085036997,3,"{'alpha_edge': [0, 0.001, 0.1, 1, 10], 'alpha_neuron': [0], 'kernel_type': ['rbf', 'matern', 'periodic'], 'layer_width': [100, 250, 500, 750, 1000], 'num_inducing': [10, 25, 50, 75, 100]}",COMPLETE,
4,0.04084704649918362,2026-08-06 22:21:27.313061,2026-08-06 22:21:32.694979,5.381918,0.1,0,periodic,100,100,0.1,0,4.7725785830000405,periodic,100,100,1,0.04084704649918362,4,"{'alpha_edge': [0, 0.001, 0.1, 1, 10], 'alpha_neuron': [0], 'kernel_type': ['rbf', 'matern', 'periodic'], 'layer_width': [100, 250, 500, 750, 1000], 'num_inducing': [10, 25, 50, 75, 100]}",COMPLETE,
5,0.07616504724768863,2026-08-06 22:21:32.698232,2026-08-06 22:21:35.108251,2.410019,0.001,0,matern,100,50,0.001,0,2.20837766700015,matern,100,50,1,0.07616504724768863,5,"{'alpha_edge': [0, 0.001, 0.1, 1, 10], 'alpha_neuron': [0], 'kernel_type': ['rbf', 'matern', 'periodic'], 'layer_width': [100, 250, 500, 750, 1000], 'num_inducing': [10, 25, 50, 75, 100]}",COMPLETE,
6,0.0018874528714369315,2026-08-06 22:21:35.113962,2026-08-06 22:22:15.348524,40.234562,1.0,0,rbf,1000,100,1.0,0,37.5057724159999,rbf,1000,100,1,0.0018874528714369315,6,"{'alpha_edge': [0, 0.001, 0.1, 1, 10], 'alpha_neuron': [0], 'kernel_type': ['rbf', 'matern', 'periodic'], 'layer_width': [100, 250, 500, 750, 1000], 'num_inducing': [10, 25, 50, 75, 100]}",COMPLETE,
7,0.004573492560213287,2026-08-06 22:22:15.351659,2026-08-06 22:22:22.604350,7.252691,0.001,0,periodic,1000,10,0.001,0,6.650845583000091,periodic,1000,10,1,0.004573492560213287,7,"{'alpha_edge': [0, 0.001, 0.1, 1, 10], 'alpha_neuron': [0], 'kernel_type': ['rbf', 'matern', 'periodic'], 'layer_width': [100, 250, 500, 750, 1000], 'num_inducing': [10, 25, 50, 75, 100]}",COMPLETE,
8,0.020286695536765632,2026-08-06 22:22:22.608104,2026-08-06 22:22:23.706250,1.098146,0.001,0,rbf,100,25,0.001,0,1.003110708000122,rbf,100,25,1,0.020286695536765632,8,"{'alpha_edge': [0, 0.001, 0.1, 1, 10], 'alpha_neuron': [0], 'kernel_type': ['rbf', 'matern', 'periodic'], 'layer_width': [100, 250, 500, 750, 1000], 'num_inducing': [10, 25, 50, 75, 100]}",COMPLETE,
9,0.06380573243863712,2026-08-06 22:22:23.709393,2026-08-06 22:22:26.286409,2.577016,0.0,0,periodic,100,50,0.0,0,2.3664604580001196,periodic,100,50,1,0.06380573243863712,9,"{'alpha_edge': [0, 0.001, 0.1, 1, 10], 'alpha_neuron': [0], 'kernel_type': ['rbf', 'matern', 'periodic'], 'layer_width': [100, 250, 500, 750, 1000], 'num_inducing': [10, 25, 50, 75, 100]}",COMPLETE,
10,0.07704900341140834,2026-08-06 22:22:26.291313,2026-08-06 22:22:26.771729,0.480416,10.0,0,rbf,100,10,10.0,0,0.40819437499999367,rbf,100,10,1,0.07704900341140834,10,"{'alpha_edge': [0, 0.001, 0.1, 1, 10], 'alpha_neuron': [0], 'kernel_type': ['rbf', 'matern', 'periodic'], 'layer_width': [100, 250, 500, 750, 1000], 'num_inducing': [10, 25, 50, 75, 100]}",COMPLETE,
11,0.001772486114678798,2026-08-06 22:22:26.775161,2026-08-06 22:22:37.807245,11.032084,0.1,0,rbf,1000,25,0.1,0,10.264829542000143,rbf,1000,25,1,0.001772486114678798,11,"{'alpha_edge': [0, 0.001, 0.1, 1, 10], 'alpha_neuron': [0], 'kernel_type': ['rbf', 'matern', 'periodic'], 'layer_width': [100, 250, 500, 750, 1000], 'num_inducing': [10, 25, 50, 75, 100]}",COMPLETE,
12,0.2773734974599761,2026-08-06 22:22:37.810674,2026-08-06 22:22:41.267583,3.456909,0.0,0,periodic,500,10,0.0,0,3.163138791999927,periodic,500,10,1,0.2773734974599761,12,"{'alpha_edge': [0, 0.001, 0.1, 1, 10], 'alpha_neuron': [0], 'kernel_type': ['rbf', 'matern', 'periodic'], 'layer_width': [100, 250, 500, 750, 1000], 'num_inducing': [10, 25, 50, 75, 100]}",COMPLETE,
13,0.002539067041436322,2026-08-06 22:22:41.272186,2026-08-06 22:22:55.955047,14.682861,10.0,0,rbf,750,50,10.0,0,13.522453167000094,rbf,750,50,1,0.002539067041436322,13,"{'alpha_edge': [0, 0.001, 0.1, 1, 10], 'alpha_neuron': [0], 'kernel_type': ['rbf', 'matern', 'periodic'], 'layer_width': [100, 250, 500, 750, 1000], 'num_inducing': [10, 25, 50, 75, 100]}",COMPLETE,
14,0.050474968553604165,2026-08-06 22:22:55.958271,2026-08-06 22:22:57.713211,1.75494,10.0,0,periodic,250,10,10.0,0,1.5912610000000313,periodic,250,10,1,0.050474968553604165,14,"{'alpha_edge': [0, 0.001, 0.1, 1, 10], 'alpha_neuron': [0], 'kernel_type': ['rbf', 'matern', 'periodic'], 'layer_width': [100, 250, 500, 750, 1000], 'num_inducing': [10, 25, 50, 75, 100]}",COMPLETE,
15,0.007617970217965234,2026-08-06 22:22:57.716904,2026-08-06 22:23:07.295757,9.578853,0.1,0,periodic,750,25,0.1,0,8.711316541000087,periodic,750,25,1,0.007617970217965234,15,"{'alpha_edge': [0, 0.001, 0.1, 1, 10], 'alpha_neuron': [0], 'kernel_type': ['rbf', 'matern', 'periodic'], 'layer_width': [100, 250, 500, 750, 1000], 'num_inducing': [10, 25, 50, 75, 100]}",COMPLETE,
16,0.06062831674975502,2026-08-06 22:23:07.299209,2026-08-06 22:23:12.676923,5.377714,0.0,0,periodic,100,100,0.0,0,4.906026000000111,periodic,100,100,1,0.06062831674975502,16,"{'alpha_edge': [0, 0.001, 0.1, 1, 10], 'alpha_neuron': [0], 'kernel_type': ['rbf', 'matern', 'periodic'], 'layer_width': [100, 250, 500, 750, 1000], 'num_inducing': [10, 25, 50, 75, 100]}",COMPLETE,
17,0.004284026852837502,2026-08-06 22:23:12.680206,2026-08-06 22:23:33.868576,21.18837,0.1,0,rbf,750,75,0.1,0,19.648080833999984,rbf,750,75,1,0.004284026852837502,17,"{'alpha_edge': [0, 0.001, 0.1, 1, 10], 'alpha_neuron': [0], 'kernel_type': ['rbf', 'matern', 'periodic'], 'layer_width': [100, 250, 500, 750, 1000], 'num_inducing': [10, 25, 50, 75, 100]}",COMPLETE,
18,0.002156975996031154,2026-08-06 22:23:33.875419,2026-08-06 22:23:40.009106,6.133687,10.0,0,matern,500,25,10.0,0,5.5835509579999325,matern,500,25,1,0.002156975996031154,18,"{'alpha_edge': [0, 0.001, 0.1, 1, 10], 'alpha_neuron': [0], 'kernel_type': ['rbf', 'matern', 'periodic'], 'layer_width': [100, 250, 500, 750, 1000], 'num_inducing': [10, 25, 50, 75, 100]}",COMPLETE,
19,0.004159329759931481,2026-08-06 22:23:40.013139,2026-08-06 22:23:47.671886,7.658747,10.0,0,rbf,750,25,10.0,0,7.158929624999928,rbf,750,25,1,0.004159329759931481,19,"{'alpha_edge': [0, 0.001, 0.1, 1, 10], 'alpha_neuron': [0], 'kernel_type': ['rbf', 'matern', 'periodic'], 'layer_width': [100, 250, 500, 750, 1000], 'num_inducing': [10, 25, 50, 75, 100]}",COMPLETE,
20,0.004364771615081692,2026-08-06 22:23:47.675527,2026-08-06 22:24:01.165867,13.49034,0.001,0,periodic,1000,25,0.001,0,12.093758333000096,periodic,1000,25,1,0.004364771615081692,20,"{'alpha_edge': [0, 0.001, 0.1, 1, 10], 'alpha_neuron': [0], 'kernel_type': ['rbf', 'matern', 'periodic'], 'layer_width': [100, 250, 500, 750, 1000], 'num_inducing': [10, 25, 50, 75, 100]}",COMPLETE,
21,0.013535891150882334,2026-08-06 22:24:01.168364,2026-08-06 22:24:12.944883,11.776519,0.0,0,matern,500,50,0.0,0,10.902791333999858,matern,500,50,1,0.013535891150882334,21,"{'alpha_edge': [0, 0.001, 0.1, 1, 10], 'alpha_neuron': [0], 'kernel_type': ['rbf', 'matern', 'periodic'], 'layer_width': [100, 250, 500, 750, 1000], 'num_inducing': [10, 25, 50, 75, 100]}",COMPLETE,
22,0.006711404396107111,2026-08-06 22:24:12.949431,2026-08-06 22:24:15.579338,2.629907,1.0,0,rbf,250,25,1.0,0,2.432863709000003,rbf,250,25,1,0.006711404396107111,22,"{'alpha_edge': [0, 0.001, 0.1, 1, 10], 'alpha_neuron': [0], 'kernel_type': ['rbf', 'matern', 'periodic'], 'layer_width': [100, 250, 500, 750, 1000], 'num_inducing': [10, 25, 50, 75, 100]}",COMPLETE,
