seed,train_mae,train_rmse,train_inference_time_secs,test_mae,test_rmse,test_inference_time_secs,fit_time_secs
0,0.10987199697906597,0.13206542746332298,0.4710765409981832,0.0603965391408939,0.08338002430571669,0.6895807090040762,1.4581554169999436
1,0.10160717351893049,0.11898785167343283,0.3687417499895673,0.038038575504855114,0.05182072847858387,0.667981584003428,1.5891732499876525
2,0.10039325675309514,0.11711814670399331,0.3769386669737287,0.03024212458037075,0.042060054626983576,0.7370632090023719,1.7240630830056034
3,0.10855759472875,0.13005184333068745,0.3544225829828065,0.053221888040937505,0.07738293081265779,0.7200069170212373,1.3067372090008575
4,0.10151002381125734,0.11935078471512998,0.3660448339942377,0.03841287713796379,0.05204438341535953,0.7037567910156213,1.3054185410146601
5,0.11184220976976562,0.13637392626582098,0.37516300001880154,0.06274094381066407,0.08545577057755967,0.7283196659991518,1.2067052090133075
6,0.10168755148154256,0.11962431169272499,0.3698311659973115,0.037053685797646264,0.049724656505001595,0.6857835419941694,1.4850475839921273
7,0.1044816204674647,0.12455031178736499,0.3725538339931518,0.04501074295484762,0.06178849438331339,0.6084564999910071,1.3863742919929791
8,0.10285908237352541,0.12195108351702018,0.362253667000914,0.04246186629800414,0.05671324446962879,0.718084332998842,1.2417080840095878
9,0.10998383338978429,0.13284761057018482,0.3414341669995338,0.057469160698541896,0.08063003692257094,0.6621805409959052,1.3811784999852534
10,0.09992077831649415,0.11620080958271486,0.36701716599054635,0.029068267893867187,0.03778946976626056,0.7656808330211788,1.2312995829852298
11,0.10003835474018258,0.11681222914983476,0.33111512500909157,0.029543587360299797,0.039992674225154984,0.7296857500041369,1.3739504169789143
12,0.10154041205112262,0.11948983438423737,0.39049354099552147,0.03814252428278638,0.051651142320873304,0.6657320829981472,1.4403765000170097
13,0.1032421836699358,0.12210159582715595,0.35263337500509806,0.041789262514968326,0.05401452302056226,0.6750087079999503,1.3355973750003614
14,0.10687973385999999,0.12793831088843483,0.2866217920091003,0.04987675707,0.0661404073993492,0.6851978340127971,1.2135360419924837
15,0.09920842517767824,0.11557197717065289,0.3198417090170551,0.02818127922928452,0.038511727420209245,0.6764453340147156,1.2954535000026226
16,0.09957547979211795,0.11612314855339725,0.38727204099996015,0.03035314778696684,0.04116667930624591,0.7278297500160988,1.298519166011829
17,0.09915766145891552,0.11539419932206522,0.37744199999724515,0.026119628570520376,0.034960340945726635,0.6921581670176238,1.372712499985937
18,0.10026320883305168,0.11743902193416607,0.3555482499941718,0.031297150318805714,0.0422930982982678,0.6245649159827735,1.3234324580116663
19,0.10042376735911963,0.11714480486615009,0.3655525829817634,0.03027469938840931,0.03948669216691081,0.7267814999795519,1.2479117499897256
20,0.10069459645107807,0.11800325866352512,0.36180783397867344,0.034398019343533155,0.046915169335500766,0.7502842500107363,1.2551207079959568
21,0.1081920133751139,0.1300256535259934,0.3935049579886254,0.05183305983967777,0.07028102447193459,0.6630944999924395,1.3915677909972146
