,number,value,datetime_start,datetime_complete,duration,params_G,params_M,params_T,params_width,test_rmse,val_rmse,state
0,0,0.15941820052193914,2026-06-06 15:18:12.991211,2026-06-06 15:21:07.347665,174.356454,30,699,42,137,0.126892334429105,0.15941820052193914,COMPLETE
1,1,0.1694755168958334,2026-06-06 15:21:07.349397,2026-06-06 15:24:02.437067,175.08767,29,822,12,90,0.12813349398369875,0.1694755168958334,COMPLETE
2,2,0.16031088639515403,2026-06-06 15:24:02.438708,2026-06-06 15:26:46.779405,164.340697,54,580,47,170,0.12412132136577216,0.16031088639515403,COMPLETE
3,3,0.16612072517209917,2026-06-06 15:26:46.781130,2026-06-06 15:29:36.715411,169.934281,83,808,45,93,0.12766023711954277,0.16612072517209917,COMPLETE
4,4,0.17128817041592898,2026-06-06 15:29:36.717643,2026-06-06 15:32:22.613209,165.895566,51,900,34,101,0.12921434848769664,0.17128817041592898,COMPLETE
5,5,0.17263175524430158,2026-06-06 15:32:22.614906,2026-06-06 15:35:12.417667,169.802761,34,754,27,48,0.13018790285362525,0.17263175524430158,COMPLETE
6,6,0.16611036221860795,2026-06-06 15:35:12.419482,2026-06-06 15:37:52.396475,159.976993,59,584,39,108,0.12571129255952912,0.16611036221860795,COMPLETE
7,7,0.1602714804608752,2026-06-06 15:37:52.398053,2026-06-06 15:40:39.619979,167.221926,27,926,26,122,0.12569901036235231,0.1602714804608752,COMPLETE
8,8,0.16753251761136748,2026-06-06 15:40:39.622020,2026-06-06 15:43:22.244825,162.622805,72,701,47,94,0.12634407545851722,0.16753251761136748,COMPLETE
9,9,0.15909076648355566,2026-06-06 15:43:22.246353,2026-06-06 15:46:06.477350,164.230997,73,988,9,195,0.10524298455242072,0.15909076648355566,COMPLETE
