,layer_width,sgkan_swim_train_rmse,sgkan_swim_test_rmse,sgkan_random_train_rmse,sgkan_random_test_rmse,hkan_train_rmse,hkan_test_rmse
0,2,0.17350739529079595,0.1298453405258074,0.17262091821630768,0.12851703275616783,0.1730938724519658,0.13006848223146156
1,10,0.16899813829913546,0.12498232038687666,0.17154214932701348,0.12739607565286204,0.17275083421216883,0.13043181462218337
2,25,0.1658427549565882,0.12183763090060881,0.16849253490225127,0.12424348880461786,0.17222538966178225,0.13075242463834583
3,50,0.15334368370956247,0.10796855589661976,0.16220154569262976,0.11864753073608496,0.16837337358111,0.12467158954844483
4,100,0.14603094653907595,0.09569944663411376,0.15423197108980963,0.10852062236082145,0.15880003393427558,0.11515432231745883
5,250,0.12467536953795737,0.06545710978436935,0.13128895843867752,0.08346059522935947,0.15155208768409692,0.10750443491197656
6,500,0.1117585641344108,0.04632857048628806,0.12400738617704334,0.08388170276621534,0.14751793615260486,0.10424575178367221
7,750,0.1091909135224058,0.06786680000859117,0.11333575904888522,0.08566136549282553,0.1437642744626311,0.09711122399135355
8,1000,0.10420454746694079,0.07156940429708739,0.1293116259591087,0.1569520796141214,0.1440281999558594,0.0985834785024807
