number,value,datetime_start,datetime_complete,duration,params_kernel,params_lr,params_num_inducing,test_rmse,val_rmse,system_attrs_fixed_params,state
0,0.2641851067239706,2026-06-21 12:56:43.177592,2026-06-21 12:58:24.300164,101.122572,rbf,0.005374769563019028,326,0.26300424566216196,0.2641851067239706,{'kernel': 'rbf'},COMPLETE
1,0.2637271710468229,2026-06-21 12:58:24.301688,2026-06-21 13:00:16.889500,112.587812,matern,0.004262414617737589,300,0.26322772460869753,0.2637271710468229,{'kernel': 'matern'},COMPLETE
2,0.26358165134312556,2026-06-21 13:00:16.891006,2026-06-21 13:02:35.283480,138.392474,rq,0.007608099955337362,336,0.262360231877795,0.26358165134312556,{'kernel': 'rq'},COMPLETE
3,0.5008589615030401,2026-06-21 13:02:35.285132,2026-06-21 13:12:19.243471,583.958339,periodic,0.0002234698555174679,328,0.4723586167548573,0.5008589615030401,{'kernel': 'periodic'},COMPLETE
4,0.5607734905292671,2026-06-21 13:12:19.245436,2026-06-21 13:29:56.439429,1057.193993,periodic_rbf,0.00011387179178125537,497,0.5565376592637162,0.5607734905292671,{'kernel': 'periodic_rbf'},COMPLETE
5,0.27155412196354684,2026-06-21 13:29:56.441247,2026-06-21 13:40:42.637081,646.195834,periodic_linear,0.0011822863310126147,356,0.2677658111905462,0.27155412196354684,{'kernel': 'periodic_linear'},COMPLETE
6,0.5289821880214929,2026-06-21 13:40:42.638598,2026-06-21 13:50:53.660793,611.022195,periodic_rbf,0.00018332768578717735,334,0.5148688972408196,0.5289821880214929,,COMPLETE
7,0.2631042821371108,2026-06-21 13:50:53.662339,2026-06-21 13:53:57.018987,183.356648,matern,0.020755466209411936,442,0.262228425808419,0.2631042821371108,,COMPLETE
8,0.2622971053501663,2026-06-21 13:53:57.020516,2026-06-21 14:10:47.549591,1010.529075,periodic_rbf,0.004353549316832976,491,0.25994487891386137,0.2622971053501663,,COMPLETE
9,0.26312060595030407,2026-06-21 14:10:47.551128,2026-06-21 14:13:54.819559,187.268431,matern,0.03155489646145398,472,0.2622267973456705,0.26312060595030407,,COMPLETE
10,0.2732269207023618,2026-06-21 14:13:54.821131,2026-06-21 14:28:32.632212,877.811081,periodic_rbf,0.0009556978141807433,405,0.26257149818818054,0.2732269207023618,,COMPLETE
11,0.2631862967034805,2026-06-21 14:28:32.634543,2026-06-21 14:32:11.065011,218.430468,matern,0.08819964381051937,448,0.2622278897237671,0.2631862967034805,,COMPLETE
