number,value,datetime_start,datetime_complete,duration,params_width_idx,user_attrs_architecture,user_attrs_grids,user_attrs_lamb,user_attrs_opt,user_attrs_steps_per_grid,user_attrs_val_rmse,system_attrs_grid_id,system_attrs_search_space,state
0,2.2555141595329696e-05,2026-08-05 16:02:43.028947,2026-08-05 16:03:37.121900,54.092953,8,"[2, 5, 3, 1]","(5, 10, 20)",0,LBFGS,20,2.2555141595329696e-05,0,"{'width_idx': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]}",COMPLETE
1,0.000665017745398877,2026-08-05 16:03:37.123745,2026-08-05 16:04:02.617697,25.493952,1,"[2, 2, 1]","(5, 10, 20)",0,LBFGS,20,0.000665017745398877,1,"{'width_idx': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]}",COMPLETE
2,5.7459697200495714e-05,2026-08-05 16:04:02.619345,2026-08-05 16:04:44.959114,42.339769,5,"[2, 3, 2, 1]","(5, 10, 20)",0,LBFGS,20,5.7459697200495714e-05,2,"{'width_idx': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]}",COMPLETE
3,0.16354954943092873,2026-08-05 16:04:44.960680,2026-08-05 16:04:53.208395,8.247715,0,"[2, 1]","(5, 10, 20)",0,LBFGS,20,0.16354954943092873,3,"{'width_idx': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]}",COMPLETE
4,1.5259397614836656e-06,2026-08-05 16:04:53.209789,2026-08-05 16:05:37.818345,44.608556,7,"[2, 3, 3, 1]","(5, 10, 20)",0,LBFGS,20,1.5259397614836656e-06,4,"{'width_idx': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]}",COMPLETE
5,5.6436838088882805e-06,2026-08-05 16:05:37.820076,2026-08-05 16:06:05.970637,28.150561,2,"[2, 3, 1]","(5, 10, 20)",0,LBFGS,20,5.6436838088882805e-06,5,"{'width_idx': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]}",COMPLETE
6,7.923996753962308e-06,2026-08-05 16:06:05.972156,2026-08-05 16:07:07.608720,61.636564,9,"[2, 5, 5, 1]","(5, 10, 20)",0,LBFGS,20,7.923996753962308e-06,6,"{'width_idx': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]}",COMPLETE
7,1.7287220013840577e-05,2026-08-05 16:07:07.610218,2026-08-05 16:07:48.018857,40.408639,4,"[2, 2, 2, 1]","(5, 10, 20)",0,LBFGS,20,1.7287220013840577e-05,7,"{'width_idx': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]}",COMPLETE
8,9.053045317202994e-06,2026-08-05 16:07:48.020500,2026-08-05 16:08:30.105329,42.084829,3,"[2, 5, 1]","(5, 10, 20)",0,LBFGS,20,9.053045317202994e-06,8,"{'width_idx': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]}",COMPLETE
9,6.407707985290998e-06,2026-08-05 16:08:30.107029,2026-08-05 16:09:21.045637,50.938608,6,"[2, 5, 2, 1]","(5, 10, 20)",0,LBFGS,20,6.407707985290998e-06,9,"{'width_idx': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]}",COMPLETE
