number,value,datetime_start,datetime_complete,duration,params_kernel,params_lr,params_num_inducing,test_rmse,val_rmse,system_attrs_fixed_params,state
0,0.11059558222700876,2026-06-21 14:52:53.094667,2026-06-21 14:56:41.154805,228.060138,periodic,0.008943374618738474,315,0.07850443257904141,0.11059558222700876,{'kernel': 'periodic'},COMPLETE
1,0.6049505695071462,2026-06-21 14:56:41.156414,2026-06-21 15:03:39.768873,418.612459,periodic_rbf,0.00014778551129225606,484,0.6246097755224498,0.6049505695071462,{'kernel': 'periodic_rbf'},COMPLETE
2,0.15437501710419016,2026-06-21 15:03:39.770614,2026-06-21 15:10:15.923900,396.153286,periodic_linear,0.08420008061265784,493,0.1368581091779991,0.15437501710419016,{'kernel': 'periodic_linear'},COMPLETE
3,0.10485761856232916,2026-06-21 15:10:15.925447,2026-06-21 15:15:29.435847,313.5104,periodic_linear,0.021096976756699998,405,0.08476960890272615,0.10485761856232916,,COMPLETE
4,0.12340036543364333,2026-06-21 15:15:29.437338,2026-06-21 15:21:01.243619,331.806281,periodic,0.04225667809042122,443,0.07634465973109503,0.12340036543364333,,COMPLETE
5,0.23341790467533974,2026-06-21 15:21:01.245165,2026-06-21 15:28:00.285311,419.040146,periodic_linear,0.0006936227503697731,482,0.26768925132039206,0.23341790467533974,,COMPLETE
6,0.08765450068480213,2026-06-21 15:28:00.286870,2026-06-21 15:33:31.192118,330.905248,periodic_rbf,0.004407847466470229,406,0.06607900492740776,0.08765450068480213,,COMPLETE
7,0.1037806795510297,2026-06-21 15:33:31.193625,2026-06-21 15:39:43.472499,372.278874,periodic_linear,0.003290156962418927,466,0.09954490877000689,0.1037806795510297,,COMPLETE
8,0.6244307178761292,2026-06-21 15:39:43.474137,2026-06-21 15:45:41.942214,358.468077,periodic_rbf,0.00014041265452679325,433,0.6292417228584974,0.6244307178761292,,COMPLETE
9,0.11222924948681212,2026-06-21 15:45:41.943859,2026-06-21 15:52:07.092977,385.149118,periodic_rbf,0.00782141866398808,468,0.0787896334224887,0.11222924948681212,,COMPLETE
