,layer_width,sgkan_swim_train_rmse,sgkan_swim_test_rmse,sgkan_random_train_rmse,sgkan_random_test_rmse,hkan_train_rmse,hkan_test_rmse
0,2,0.16598838652838793,0.16999801172600412,0.16069171551286987,0.1638233830809393,0.13593098356621863,0.13899803157886628
1,10,0.15636268747092777,0.16083788269449878,0.12179472302891939,0.12704546640456685,0.024289236308016084,0.025015222829887888
2,25,0.1075416156109635,0.11149846015215362,0.08665704785578733,0.08984785356667589,0.00023020791603926448,0.00024052350106929774
3,50,0.03784086574543481,0.04106049584109212,0.11718298753602258,0.12185721578977339,1.41782313087985e-06,1.5821574161412482e-06
4,100,0.017156157709845448,0.01975337242581958,0.06458547325402816,0.07077654307220797,7.40501582105197e-10,9.20449794406332e-10
5,250,0.0005487093432285971,0.0006834775305655379,0.004436501708971011,0.005009067786677266,1.067235082077027e-10,1.3788698115192486e-10
6,500,1.3667183671660824e-05,2.006785995064335e-05,0.00195077255780336,0.002730087245574407,2.1778344402363587e-11,2.797071670585147e-11
7,750,4.4646071563204793e-07,9.274903958871416e-07,0.00028396803809259023,0.00041728643848114907,1.6674021034662836e-11,2.2367434545992614e-11
8,1000,1.3838945072292561e-08,5.5346274515515157e-08,6.933445269670929e-05,0.00011086449229012315,9.356271955921554e-12,1.9117795961041633e-11
