seed,train_mae,train_rmse,train_inference_time_secs,test_mae,test_rmse,test_inference_time_secs,fit_time_secs
0,0.0009423248147954931,0.001383050799214153,2.207494082977064,0.001326762984528147,0.0021513024675358294,5.309461874974659,6.8722347500151955
1,0.0011211476228094473,0.0017119076820106842,2.126367124990793,0.0014694602940986898,0.002374543250397683,4.378051333012991,6.752843541995389
2,0.0009488453260909669,0.0015351007233751323,2.290824791009072,0.0012875936641221857,0.002098606485239101,4.243334374972619,6.477447500015842
3,0.0009134949038117827,0.0014759406268549551,2.1579462089866865,0.0012149790124322674,0.001975154020954662,4.668527665984584,6.422212958015734
4,0.0010015953830525323,0.0015051239166418635,2.2241097500082105,0.0013405395175763437,0.002065367110925212,4.438677083002403,6.571895750006661
5,0.0011735719064201505,0.0017291875034221166,2.0471266669919714,0.001540372112796649,0.002484242533186673,4.380456125014462,6.786148457991658
6,0.0007946483515951486,0.001190187783101073,2.3800028749974445,0.0010871608771261033,0.0017974138253384858,4.63054770801682,6.512027582997689
7,0.0011546030363605484,0.0017914781430097247,2.1906315419764724,0.0015324840274574503,0.0023798678670208526,4.342110583995236,6.670716791995801
8,0.0007921842271390603,0.0012149176335690313,2.2864152920083143,0.0010348721903800915,0.0016003108224374408,4.448415833001491,6.7659902080195025
9,0.0011314056583530416,0.0016983713954025006,2.2692632500256877,0.001513441619399019,0.0022801586955206333,4.533342208014801,6.466253833990777
10,0.0007065267074270329,0.0010948546370600847,2.1169477500079665,0.0009888195912049116,0.0017499900649476765,4.454364874982275,6.850609332992462
11,0.0007754755464470396,0.0011904659320393798,2.0893009589926805,0.0010282572284691946,0.0016885769766596468,4.418493125005625,6.58514679200016
12,0.0007344180250863883,0.0011750020261033943,2.2301334170042537,0.00097940210089807,0.0015999344361916795,4.748865999979898,6.50768275000155
13,0.0029598176042857516,0.00386421880895079,2.476702625019243,0.004372105337132099,0.0099024571169317,4.616686499997741,6.088664416020038
14,0.0015480047413444263,0.0022497090436147025,2.0976088749885093,0.0020594423055785276,0.003107120218741461,4.480102458008332,6.479622917016968
15,0.0006174025663505241,0.0009395963270672226,2.100761750014499,0.0008469614820465626,0.0014291106008583795,4.503254457988078,6.626795415999368
16,0.0008364533027986016,0.0012611660369239207,2.208803874993464,0.0011078615484266035,0.0017537672941487724,4.301779083994916,6.440369957999792
17,0.0007804163151582275,0.0011825984378606882,2.863477957987925,0.0010773577669800057,0.001774669470747249,5.071225833002245,16.988261667022016
18,0.0009041807933265092,0.0013601856767175692,2.551886708009988,0.0011919828588237134,0.0018390481255226403,4.952117875014665,7.278708416997688
19,0.001049911901368122,0.0016454427070937768,2.3910540000069886,0.0013971189634311588,0.00220906106915638,5.091616624995368,7.472451290988829
20,0.0014917702152035964,0.0021724163966353165,2.5126072500133887,0.0020808565209456888,0.003245575937153817,5.073475374985719,7.107888416998321
21,0.0007453598290736395,0.001140278652645922,2.5973334159934893,0.001000938288496856,0.0015941923078466279,5.008959583006799,6.960906166990753
22,0.0015315175165808398,0.001988709356238073,2.5814396249770653,0.001836782296406633,0.003158214754615985,5.086674916994525,7.534724291006569
23,0.0007892010613453272,0.0012044872460793732,2.0809954579744954,0.0010284589515057838,0.0016923128475579076,4.415450249973219,7.403047415980836
24,0.0008586777609077693,0.0012853183689398003,2.2065525830257684,0.0012018022034916596,0.0019367006921872693,4.559094250027556,6.438067666982533
25,0.0008356248379878311,0.0012521648655713542,2.0602007920097094,0.0012049951448397285,0.0024050013788105323,4.311237041983986,6.637687791022472
26,0.0009336113992836182,0.001498620366760896,2.5127741250034887,0.0012804969400870875,0.002139602261661486,4.36055833401042,6.724652958975639
