seed,train_mae,train_rmse,train_inference_time_secs,test_mae,test_rmse,test_inference_time_secs,fit_time_secs
0,0.2241954269705578,0.2524874168729379,0.018042083000182174,0.2381650972289648,0.2671066835856297,0.007381791991065256,25.700333957996918
1,0.22419916750471694,0.25248983190264757,0.01779662499029655,0.23817450388840825,0.26713011387376245,0.007234832999529317,26.389861832998577
2,0.22419242718765564,0.2524860169291965,0.01775245799217373,0.2381793588219115,0.26711916214562825,0.006806167002650909,25.035332375002326
3,0.22419617522297977,0.2524863972079071,0.01751916599459946,0.23818595737769793,0.26712282655564185,0.00644462498894427,26.207065750000766
4,0.2242010248989167,0.2524863687545183,0.017637666998780333,0.23817290583828335,0.26711661404509446,0.006440042008762248,27.04286920800223
5,0.22420071066407804,0.25248772152591975,0.01693212499958463,0.23815919613110756,0.2671073567442438,0.00632762500026729,27.0884855829936
6,0.2242076358513502,0.2524908611628932,0.019225208001444116,0.23815767288294146,0.2671167865983619,0.007607209001434967,25.710293333992013
7,0.22420206526004877,0.25249059818727576,0.024258541991002858,0.23816318269128034,0.2671157469129812,0.007544583000708371,24.73125545900257
8,0.22420482402815842,0.25249029485393676,0.020505583001067862,0.2381610729096682,0.26710803069299494,0.01590891600062605,28.76570020800864
9,0.22419635856879766,0.25248630288130675,0.037393708000308834,0.23819392332086942,0.2671393516597216,0.019238958004279993,26.25994187500328
10,0.2241973780285858,0.2524856314240443,0.017004875000566244,0.238185204688038,0.2671265878783471,0.0069597080000676215,27.708907332998933
11,0.22419635909578314,0.2524862852531185,0.019716291993972845,0.2381539071974074,0.2670877803700532,0.007632916996954009,27.46296445801272
12,0.22420937643101213,0.25249275031174806,0.019216165994293988,0.23810609115456732,0.2670511269286584,0.007319000011193566,25.502542041998822
13,0.22420804699366786,0.2524884519452825,0.018401583001832478,0.23814869501369368,0.26709353211483794,0.008072374999755993,28.565161665988853
14,0.2241965068495564,0.2524854585239781,0.018197083001723513,0.23816767690278995,0.2671078512298534,0.006890459000715055,29.00487770899781
15,0.22420104968526242,0.25248603895779403,0.04960837500402704,0.2381743047449235,0.26711837230245394,0.06704949999402743,27.218048082999303
16,0.22419499442845003,0.2524863171902427,0.02028808300383389,0.2381687434565409,0.26710698294309726,0.006349999996018596,28.275763665995328
17,0.22419822811639123,0.2524882266113521,0.02105795899115037,0.23817730975060822,0.2671224324122573,0.009456917003262788,26.374495583004318
18,0.22419633688018759,0.2524879309355613,0.019163709002896212,0.23819045207919148,0.2671318317246436,0.008243542004493065,25.955681000006734
19,0.2241912348830702,0.2524858932233578,0.02030404200195335,0.23819675512864333,0.2671416302692367,0.010288582998327911,26.18198449999909
20,0.224202268996642,0.25248812752983935,0.025268790996051393,0.23814210510037892,0.2670868159802393,0.009108083002502099,25.92829266699846
21,0.22420189347220376,0.2524899649553968,0.016307583995512687,0.2381670897882307,0.26711774351530193,0.007180207991041243,28.516251291992376
22,0.22419607388423532,0.2524873505470371,0.021437000003061257,0.23818020753414057,0.26712227014685397,0.008815791996312328,29.656375040998682
23,0.22420311014884023,0.25248935183760635,0.017356665994157083,0.23815925555574313,0.267122223267979,0.008424625004408881,28.90418820900959
24,0.2241972948514683,0.252485264905988,0.019678416996612214,0.23818093452056482,0.26711623635097104,0.007469291987945326,26.732936208005412
25,0.22419367966082646,0.2524866988597977,0.019136957998853177,0.23816153927496106,0.26709803473113125,0.006883541995193809,27.16978354199091
26,0.22420422461146833,0.25249038687355624,0.019514167011948302,0.23813779824926123,0.2670923338210366,0.008144999999785796,27.91241550000268
27,0.22420786500587953,0.25248979864113197,0.016293541993945837,0.23815499553521619,0.26710039965539495,0.006517250003525987,28.101187000007485
28,0.22419330062214468,0.25248606177674454,0.021619250008370727,0.2381740921042714,0.2671241568395934,0.00930220799637027,27.40113429199846
29,0.22421085374142738,0.25249288737373515,0.017371459005516954,0.2381415701847226,0.2670804225507501,0.006766041988157667,25.25969612499466
30,0.22419995772190207,0.25248683593860427,0.01895741700718645,0.2381856767494136,0.26712331541667206,0.00789683400944341,25.337901624996448
31,0.22419362008856505,0.25248377400344346,0.015753332991153002,0.23818265134725725,0.26710640155336557,0.007423583010677248,23.701699541998096
32,0.2241953160700734,0.25248653485813893,0.016757834004238248,0.23817992228729432,0.26711607637396734,0.007205875008367002,24.314229666997562
33,0.22419406490104488,0.25248539147835936,0.019641790990135632,0.23817716661849467,0.2671178714954759,0.005417916996520944,24.220969415997388
34,0.22420213416485227,0.25249031413962786,0.020636792003642768,0.2381437719211408,0.26709405630175914,0.0078110829927027225,24.12212533300044
35,0.2241993128054758,0.25248817238119836,0.018473083997378126,0.2381513921996133,0.2670926387119498,0.006574667000677437,24.90516562500852
36,0.22419658093521425,0.2524865030189463,0.017328624991932884,0.23818515869398424,0.2671195563390658,0.007697332999669015,24.912271708002663
37,0.22419938706788786,0.25248708176799656,0.01908820800599642,0.23817443547284164,0.26710907987281896,0.006945916989934631,24.436255249995156
38,0.22420113185824156,0.2524840145194834,0.018348083991440944,0.23816725341864567,0.2670864269813145,0.0071307500038528815,28.256703084000037
39,0.2241936659956956,0.25248645785195145,0.017890082992380485,0.23818680724199065,0.26712917257646535,0.007544042004155926,25.41357958300796
40,0.22420697611665,0.25248860607014495,0.018124165988410823,0.2381520470415344,0.26710549371848763,0.00680054200347513,25.687290500005474
41,0.22420050663307975,0.25248789408629974,0.018554292008047923,0.23815585092113462,0.2670936078735892,0.007440667002811097,25.85212483300711
42,0.22420962486322854,0.2524938315903206,0.015584542008582503,0.2381405584581592,0.2670864471080228,0.006969334004679695,25.623095916991588
43,0.22419468172456067,0.25248818969903747,0.01829041699238587,0.23820036299145086,0.26714658928686785,0.006403667008271441,25.2063360420143
44,0.22420355297124936,0.2524863546726989,0.015310375005356036,0.23816180524886185,0.26711196789517216,0.006655958990450017,28.17365895799594
45,0.2241913371366541,0.2524866849004456,0.01569658299558796,0.23819585356843223,0.26714508938602405,0.006405625012121163,24.270377207998536
46,0.22419421029565717,0.25248639706832193,0.02041037500021048,0.23819491248578897,0.2671378371656213,0.009216249993187375,23.153227167000296
47,0.2241921239225102,0.2524858392185381,0.020788583002286032,0.23818648713217794,0.26712477748890273,0.009209666997776367,26.52060154201172
48,0.22419633013931647,0.25248512904623094,0.02048795801238157,0.23817319246590413,0.26710609692814485,0.0073375829961150885,26.40018374999636
49,0.22419810629880874,0.25248410073378313,0.015044415995362215,0.2381713538928093,0.2671027995503624,0.006896708990097977,24.772434707992943
