,layer_width,sgkan_swim_train_rmse,sgkan_swim_test_rmse,sgkan_random_train_rmse,sgkan_random_test_rmse,hkan_train_rmse,hkan_test_rmse
0,2,0.1728894170156604,0.17506949765994492,0.17351047104310832,0.17542093071116574,0.06454656727252746,0.06407182706760794
1,10,0.120082181351457,0.12051490271343286,0.1528609079965924,0.15288621358883034,0.02083983527225986,0.02056153224211965
2,25,0.0923189326089499,0.09405444928488725,0.12465778743040647,0.12586813461223023,0.009740497296957555,0.009528223039682577
3,50,0.05372684761723884,0.055241346479416684,0.09529923931702443,0.1000534398318745,0.006272672150648475,0.00640589061502386
4,100,0.038865405975415906,0.03911496915611545,0.048778518008603326,0.0509372262229054,0.0003245387476139631,0.00035747409705176055
5,250,0.02028834213732607,0.0210514812894368,0.014481147364587789,0.015370770435101256,2.3019010054420671e-10,3.1719994400413784e-10
6,500,0.009947499807131234,0.012046039589662773,0.002926600439526576,0.00456824413271237,5.660226257377944e-13,9.317731567889116e-13
7,750,0.004400706458052843,0.005885402814328815,0.001186171403490471,0.0019390262370102193,2.491444135214039e-13,3.3194464294170863e-13
8,1000,0.00234405757636359,0.004735901125718066,0.0005895085286081513,0.0013406662553763415,1.9381044444436434e-13,6.433663784790494e-13
