seed,train_mae,train_rmse,train_inference_time_secs,test_mae,test_rmse,test_inference_time_secs,fit_time_secs
0,2.3327981144016796e-13,2.957595518572173e-13,1.989021583009162,2.480855794707577e-13,3.1754580294402874e-13,3.648584957991261,5.693040917001781
1,1.6628137824992173e-13,2.049143064920649e-13,1.8015086249943124,2.1490755733555257e-13,3.887162387810705e-13,3.492593458999181,5.720045292007853
2,1.4688257762851543e-13,1.8786524368486752e-13,1.8566335840005195,2.0914209149643048e-13,5.338535813583929e-13,3.6600146669952665,5.610897457998362
3,1.4950484392151074e-13,1.922386436446863e-13,1.9391295420064125,2.2663629979197088e-13,5.13618834976069e-13,3.496912249989691,5.6427773339964915
4,1.603455299092893e-13,1.984996818057022e-13,1.7421909580007195,2.079142456332529e-13,3.6685826609472007e-13,4.059381375001976,5.721110583006521
5,1.7418091552423575e-13,2.1902291177825886e-13,2.246102624994819,2.5626502439594867e-13,5.854998605528255e-13,4.442969999989145,6.116907125004218
6,2.329642180554092e-13,2.8397055131497687e-13,1.9274339169933228,3.126449391952358e-13,7.464080824483697e-13,3.866781958990032,5.614924790992518
7,1.8319372477315632e-13,2.252875725210959e-13,1.9696136669954285,2.0721278283047886e-13,2.654046922536104e-13,3.7717505830078153,5.795954000001075
8,1.5811561851486465e-13,1.9515323158399652e-13,1.9088434579898603,2.1288438954773736e-13,3.976366988191896e-13,3.905811457996606,5.759110333005083
9,2.8324583095651335e-13,3.4220229037588985e-13,2.0356282079883385,3.988982422546976e-13,1.0018040161155458e-12,3.953726249994361,5.611293875001138
10,1.566010827958042e-13,2.0069468811059188e-13,1.8665042920038104,2.7707670112686554e-13,8.356958490043075e-13,4.146989165994455,5.5382437909865985
11,1.0961778082463348e-13,1.3749931507640134e-13,1.7667514999920968,1.6479623537779585e-13,3.807734073243962e-13,3.9874932909879135,5.679735833997256
12,1.1375299591165345e-13,1.3885652345599667e-13,1.9437492919969372,1.4346843292778423e-13,2.1229680342094185e-13,3.944650666991947,5.604079333003028
13,1.0175633946563067e-13,1.2920395018074275e-13,1.9270766669942532,1.2047635177214701e-13,1.6589758675966421e-13,3.871917458003736,5.91492537499289
