layer_width,sgkan_swim_fit_time,sgkan_random_fit_time,hkan_fit_time
2,0.15610791700601112,0.034679207994486205,0.0061276250053197145
10,0.20041287499770988,0.15600158300367184,0.04715324999415316
25,0.7171540000126697,0.4933441250032047,0.11350254199351184
50,1.0870789999898989,0.9144367090048036,0.20876683401002083
100,2.0884716250002384,1.7007376660039881,0.38798504100122955
250,4.978554208995774,4.236557457988965,1.0128295410104329
500,15.653216749997227,8.183038000002853,2.827044790989021
750,13.398740624994389,15.762823958997615,2.833465082992916
1000,19.042640999992727,16.924963875004323,4.028602167003555
