,number,value,datetime_start,datetime_complete,duration,params_G,params_M,params_T,params_width,test_rmse,val_rmse,state
0,0,0.004739277544314469,2026-06-05 18:16:20.396233,2026-06-05 18:19:33.232917,192.836684,65,568,35,138,0.006496729232462055,0.004739277544314469,COMPLETE
1,1,0.005377061646176981,2026-06-05 18:19:33.234469,2026-06-05 18:22:55.497176,202.262707,75,842,12,117,0.005617465269508481,0.005377061646176981,COMPLETE
2,2,0.0034011463210453555,2026-06-05 18:22:55.498973,2026-06-05 18:26:18.187928,202.688955,81,954,20,197,0.004079428434719477,0.0034011463210453555,COMPLETE
3,3,0.010231207995042355,2026-06-05 18:26:18.189758,2026-06-05 18:29:30.445293,192.255535,57,973,33,59,0.014997700434685925,0.010231207995042355,COMPLETE
4,4,0.005513349446635564,2026-06-05 18:29:30.446829,2026-06-05 18:32:48.537992,198.091163,74,626,41,125,0.004729700347537802,0.005513349446635564,COMPLETE
5,5,0.011485243927425814,2026-06-05 18:32:48.540041,2026-06-05 18:36:00.066591,191.52655,56,865,49,61,0.009057364916399415,0.011485243927425814,COMPLETE
6,6,0.0041567292996040036,2026-06-05 18:36:00.069623,2026-06-05 18:39:13.710430,193.640807,79,713,16,151,0.004367489799590207,0.0041567292996040036,COMPLETE
7,7,0.004468917856049368,2026-06-05 18:39:13.712126,2026-06-05 18:42:30.273579,196.561453,36,872,25,154,0.004534654634626332,0.004468917856049368,COMPLETE
8,8,0.0036756631050450734,2026-06-05 18:42:30.275175,2026-06-05 18:45:50.492722,200.217547,28,640,10,180,0.003858421769000507,0.0036756631050450734,COMPLETE
9,9,0.005172419318587677,2026-06-05 18:45:50.494371,2026-06-05 18:49:00.648707,190.154336,79,873,16,122,0.005353369883242611,0.005172419318587677,COMPLETE
