number,value,datetime_start,datetime_complete,duration,params_width_idx,user_attrs_architecture,user_attrs_grids,user_attrs_lamb,user_attrs_opt,user_attrs_steps_per_grid,user_attrs_val_rmse,system_attrs_grid_id,system_attrs_search_space,state
0,0.5210003981561397,2026-08-05 17:02:01.846612,2026-08-05 17:04:41.976656,160.130044,8,"[10, 21, 11, 1]","(5, 10, 20)",0,LBFGS,20,0.5210003981561397,0,"{'width_idx': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]}",COMPLETE
1,0.31440883964671607,2026-08-05 17:04:41.978605,2026-08-05 17:05:18.723181,36.744576,1,"[10, 2, 1]","(5, 10, 20)",0,LBFGS,20,0.31440883964671607,1,"{'width_idx': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]}",COMPLETE
2,0.5416382297025938,2026-08-05 17:05:18.725680,2026-08-05 17:06:30.576902,71.851222,5,"[10, 11, 2, 1]","(5, 10, 20)",0,LBFGS,20,0.5416382297025938,2,"{'width_idx': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]}",COMPLETE
3,0.2682371787154584,2026-08-05 17:06:30.579083,2026-08-05 17:06:57.911095,27.332012,0,"[10, 1]","(5, 10, 20)",0,LBFGS,20,0.2682371787154584,3,"{'width_idx': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]}",COMPLETE
4,0.4760770202672202,2026-08-05 17:06:57.912724,2026-08-05 17:08:49.418425,111.505701,7,"[10, 11, 11, 1]","(5, 10, 20)",0,LBFGS,20,0.4760770202672202,4,"{'width_idx': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]}",COMPLETE
5,0.48249127388683083,2026-08-05 17:08:49.420604,2026-08-05 17:10:05.822995,76.402391,2,"[10, 11, 1]","(5, 10, 20)",0,LBFGS,20,0.48249127388683083,5,"{'width_idx': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]}",COMPLETE
6,0.5166906498440533,2026-08-05 17:10:05.824737,2026-08-05 17:13:30.333512,204.508775,9,"[10, 21, 21, 1]","(5, 10, 20)",0,LBFGS,20,0.5166906498440533,6,"{'width_idx': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]}",COMPLETE
7,0.3258857465446595,2026-08-05 17:13:30.335791,2026-08-05 17:14:17.935798,47.600007,4,"[10, 2, 2, 1]","(5, 10, 20)",0,LBFGS,20,0.3258857465446595,7,"{'width_idx': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]}",COMPLETE
8,0.5135673555343626,2026-08-05 17:14:17.937333,2026-08-05 17:15:59.044700,101.107367,3,"[10, 21, 1]","(5, 10, 20)",0,LBFGS,20,0.5135673555343626,8,"{'width_idx': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]}",COMPLETE
9,0.41914942904862534,2026-08-05 17:15:59.046333,2026-08-05 17:17:44.441142,105.394809,6,"[10, 21, 2, 1]","(5, 10, 20)",0,LBFGS,20,0.41914942904862534,9,"{'width_idx': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]}",COMPLETE
