number,value,datetime_start,datetime_complete,duration,params_width_idx,user_attrs_architecture,user_attrs_grids,user_attrs_lamb,user_attrs_opt,user_attrs_steps_per_grid,user_attrs_val_rmse,system_attrs_grid_id,system_attrs_search_space,state
0,0.0024121263967514703,2026-08-05 16:49:25.874607,2026-08-05 16:50:07.613246,41.738639,8,"[2, 5, 3, 1]","(5, 10, 20)",0,LBFGS,20,0.0024121263967514703,0,"{'width_idx': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]}",COMPLETE
1,0.013828978775819869,2026-08-05 16:50:07.614836,2026-08-05 16:50:27.306282,19.691446,1,"[2, 2, 1]","(5, 10, 20)",0,LBFGS,20,0.013828978775819869,1,"{'width_idx': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]}",COMPLETE
2,0.022586170603221357,2026-08-05 16:50:27.307438,2026-08-05 16:51:00.556268,33.24883,5,"[2, 3, 2, 1]","(5, 10, 20)",0,LBFGS,20,0.022586170603221357,2,"{'width_idx': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]}",COMPLETE
3,0.01904910523919514,2026-08-05 16:51:00.557760,2026-08-05 16:51:09.367274,8.809514,0,"[2, 1]","(5, 10, 20)",0,LBFGS,20,0.01904910523919514,3,"{'width_idx': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]}",COMPLETE
4,0.004004969372661155,2026-08-05 16:51:09.368586,2026-08-05 16:51:49.222311,39.853725,7,"[2, 3, 3, 1]","(5, 10, 20)",0,LBFGS,20,0.004004969372661155,4,"{'width_idx': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]}",COMPLETE
5,0.0118761001215369,2026-08-05 16:51:49.223820,2026-08-05 16:52:14.751519,25.527699,2,"[2, 3, 1]","(5, 10, 20)",0,LBFGS,20,0.0118761001215369,5,"{'width_idx': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]}",COMPLETE
6,0.0014108819646886123,2026-08-05 16:52:14.753258,2026-08-05 16:53:05.778331,51.025073,9,"[2, 5, 5, 1]","(5, 10, 20)",0,LBFGS,20,0.0014108819646886123,6,"{'width_idx': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]}",COMPLETE
7,0.019054803311734047,2026-08-05 16:53:05.779849,2026-08-05 16:53:39.294018,33.514169,4,"[2, 2, 2, 1]","(5, 10, 20)",0,LBFGS,20,0.019054803311734047,7,"{'width_idx': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]}",COMPLETE
8,0.0012872366778772465,2026-08-05 16:53:39.295703,2026-08-05 16:54:09.672446,30.376743,3,"[2, 5, 1]","(5, 10, 20)",0,LBFGS,20,0.0012872366778772465,8,"{'width_idx': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]}",COMPLETE
9,0.0028467548989314743,2026-08-05 16:54:09.674032,2026-08-05 16:54:56.238926,46.564894,6,"[2, 5, 2, 1]","(5, 10, 20)",0,LBFGS,20,0.0028467548989314743,9,"{'width_idx': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]}",COMPLETE
