number,value,datetime_start,datetime_complete,duration,params_kernel,params_lr,params_num_inducing,test_rmse,val_rmse,system_attrs_fixed_params,state
0,0.09827397302848814,2026-06-20 20:37:52.262486,2026-06-20 20:42:04.553760,252.291274,periodic,0.015428412472719158,339,0.11704264524499779,0.09827397302848814,{'kernel': 'periodic'},COMPLETE
1,0.1174037305594747,2026-06-20 20:42:04.555967,2026-06-20 20:49:24.947330,440.391363,periodic_rbf,0.0008539220998860188,491,0.1146198647732787,0.1174037305594747,{'kernel': 'periodic_rbf'},COMPLETE
2,0.11543058866356395,2026-06-20 20:49:24.949931,2026-06-20 20:56:24.945330,419.995399,periodic_linear,0.0037270281938068146,474,0.12562710436305405,0.11543058866356395,{'kernel': 'periodic_linear'},COMPLETE
3,0.11077661911828682,2026-06-20 20:56:24.947092,2026-06-20 21:01:32.686718,307.739626,periodic_rbf,0.04353257442445009,361,0.11482340470794151,0.11077661911828682,,COMPLETE
4,0.10714023544094622,2026-06-20 21:01:32.688342,2026-06-20 21:06:31.880239,299.191897,periodic,0.03272506817550863,390,0.11803843148774522,0.10714023544094622,,COMPLETE
5,0.12337886388844703,2026-06-20 21:06:31.881965,2026-06-20 21:12:35.601024,363.719059,periodic_linear,0.0021682038591208114,420,0.12551275481941007,0.12337886388844703,,COMPLETE
6,0.11557760987701796,2026-06-20 21:12:35.603347,2026-06-20 21:19:26.020523,410.417176,periodic_linear,0.007484913213658287,468,0.12293799256686931,0.11557760987701796,,COMPLETE
7,0.34791292014265396,2026-06-20 21:19:26.022282,2026-06-20 21:25:40.221284,374.199002,periodic_linear,0.00016385274744559568,429,0.3539464539530414,0.34791292014265396,,COMPLETE
8,0.10410306524435364,2026-06-20 21:25:40.223080,2026-06-20 21:33:21.336990,461.11391,periodic_rbf,0.019802135200655543,481,0.11473458276825681,0.10410306524435364,,COMPLETE
9,0.09577337428229658,2026-06-20 21:33:21.339129,2026-06-20 21:38:51.238526,329.899397,periodic_rbf,0.011153530045485102,386,0.11315454713885016,0.09577337428229658,,COMPLETE
