number,value,datetime_start,datetime_complete,duration,params_G,params_M,params_T,params_width,test_rmse,val_rmse,state
0,0.09284603379250614,2026-06-24 15:24:22.964696,2026-06-24 15:29:47.272563,324.307867,79,651,25,104,0.10866621973956023,0.09284603379250614,COMPLETE
1,0.09429795556850178,2026-06-24 15:29:47.274023,2026-06-24 15:35:01.311283,314.03726,52,506,40,124,0.08666393951828948,0.09429795556850178,COMPLETE
2,0.06825151501999849,2026-06-24 15:35:01.312841,2026-06-24 15:40:19.730522,318.417681,61,687,45,192,0.07350083407870546,0.06825151501999849,COMPLETE
3,0.10746542400040933,2026-06-24 15:40:19.732007,2026-06-24 15:45:42.143968,322.411961,43,880,46,69,0.11463986186705094,0.10746542400040933,COMPLETE
4,0.08139592652015211,2026-06-24 15:45:42.145742,2026-06-24 15:51:25.964590,343.818848,57,516,40,156,0.05866776497269932,0.08139592652015211,COMPLETE
5,0.09927052641602627,2026-06-24 15:51:25.966144,2026-06-24 15:56:52.860291,326.894147,58,682,8,97,0.09633037586519254,0.09927052641602627,COMPLETE
6,0.12091507083900661,2026-06-24 15:56:52.861752,2026-06-24 16:02:13.257513,320.395761,85,913,48,40,0.1361943414292102,0.12091507083900661,COMPLETE
7,0.0781957842087521,2026-06-24 16:02:13.259039,2026-06-24 16:20:49.060520,1115.801481,65,770,10,154,0.09008322298445515,0.0781957842087521,COMPLETE
8,0.08761417427299292,2026-06-24 16:20:49.062330,2026-06-24 16:26:13.396523,324.334193,75,987,9,130,0.0712461579676707,0.08761417427299292,COMPLETE
9,0.07216268990337352,2026-06-24 16:26:13.397999,2026-06-24 16:31:33.988924,320.590925,35,861,44,181,0.06787024740548984,0.07216268990337352,COMPLETE
