,model_type,n_width,n_layers,l2_relative,time_fit,xlim_min,xlim_max,n_dim,n_points_train,n_points_test,random_seed
60,sampling,161,2,0.0003396302104046506,0.13683605194091797,-1,1,1,10000,10000,1
61,sampling,161,2,1.919059982891192e-06,0.13698744773864746,-1,1,1,10000,10000,2
62,sampling,161,2,7.77342445784468e-05,0.13651490211486816,-1,1,1,10000,10000,3
63,sampling,161,2,0.00015127011811340112,0.13914847373962402,-1,1,1,10000,10000,4
64,sampling,161,2,3.400767877418341e-05,0.1365647315979004,-1,1,1,10000,10000,5
65,sampling,256,2,7.40965890063673e-05,0.22829675674438477,-1,1,1,10000,10000,1
66,sampling,256,2,2.185827260702547e-07,0.2274160385131836,-1,1,1,10000,10000,2
67,sampling,256,2,4.679637228136465e-05,0.22077512741088867,-1,1,1,10000,10000,3
68,sampling,256,2,4.76273192408692e-05,0.22158145904541016,-1,1,1,10000,10000,4
69,sampling,256,2,7.198390329142559e-07,0.22024059295654297,-1,1,1,10000,10000,5
70,sampling,406,2,2.4740507867309676e-05,0.35423779487609863,-1,1,1,10000,10000,1
71,sampling,406,2,1.2662524049900924e-06,0.35489606857299805,-1,1,1,10000,10000,2
72,sampling,406,2,1.6109206101242702e-05,0.343048095703125,-1,1,1,10000,10000,3
73,sampling,406,2,1.5538480407609143e-05,0.3505070209503174,-1,1,1,10000,10000,4
74,sampling,406,2,4.112774860279223e-08,0.33918237686157227,-1,1,1,10000,10000,5
75,sampling,645,2,1.3961678051096362e-07,0.6158223152160645,-1,1,1,10000,10000,1
76,sampling,645,2,1.5549369782203257e-07,0.6299080848693848,-1,1,1,10000,10000,2
77,sampling,645,2,9.433896670455015e-07,0.6232278347015381,-1,1,1,10000,10000,3
78,sampling,645,2,7.453141819468362e-07,0.6229581832885742,-1,1,1,10000,10000,4
79,sampling,645,2,4.7395065166693384e-08,0.6174795627593994,-1,1,1,10000,10000,5
80,sampling,1024,2,5.019664963244839e-08,1.1149611473083496,-1,1,1,10000,10000,1
81,sampling,1024,2,8.834730790079457e-08,1.1123836040496826,-1,1,1,10000,10000,2
82,sampling,1024,2,1.1255831074197644e-07,1.1193952560424805,-1,1,1,10000,10000,3
83,sampling,1024,2,1.0591040572119462e-07,1.1108453273773193,-1,1,1,10000,10000,4
84,sampling,1024,2,5.589166908099466e-08,1.108238697052002,-1,1,1,10000,10000,5
85,sampling,1625,2,4.191381924418171e-08,2.2613587379455566,-1,1,1,10000,10000,1
86,sampling,1625,2,1.0059570267351589e-08,2.2578883171081543,-1,1,1,10000,10000,2
87,sampling,1625,2,1.9922179274868126e-08,2.2526183128356934,-1,1,1,10000,10000,3
88,sampling,1625,2,2.12528208235293e-08,2.270334243774414,-1,1,1,10000,10000,4
89,sampling,1625,2,1.7021084423909918e-08,2.2459943294525146,-1,1,1,10000,10000,5
90,sampling,2580,2,1.2355645471828357e-08,6.246933698654175,-1,1,1,10000,10000,1
91,sampling,2580,2,2.7495751683361263e-09,6.207102298736572,-1,1,1,10000,10000,2
92,sampling,2580,2,7.702536244530026e-09,6.2328948974609375,-1,1,1,10000,10000,3
93,sampling,2580,2,6.416899194833858e-09,6.187964916229248,-1,1,1,10000,10000,4
94,sampling,2580,2,8.382223328843813e-09,6.265643358230591,-1,1,1,10000,10000,5
95,sampling,4096,2,5.759432074012923e-09,19.920547008514404,-1,1,1,10000,10000,1
96,sampling,4096,2,2.8023255780007193e-09,19.87371563911438,-1,1,1,10000,10000,2
97,sampling,4096,2,7.268966485457095e-09,19.907320261001587,-1,1,1,10000,10000,3
