,layer_width,n_modes,regularization_scale,n_layers,train_rel_l2,val_rel_l2,test_rel_l2,time_spent,architecture,method
0,256,8,1e-10,1,0.010968221168952956,0.0114554002278021,0.011314817070229013,0.2066699924568335,in_fourier,swim
1,256,8,1e-10,2,0.12440318230336656,0.12915109851993045,0.12830926480593352,0.3014298885439833,in_fourier,swim
2,256,8,1e-10,4,0.1497991681833569,0.15516700220868176,0.15368599483293977,0.5634154118597507,in_fourier,swim
3,256,8,1e-08,1,0.011432444962159899,0.01198784995639401,0.011776005973212286,0.22063162550330162,in_fourier,swim
4,256,8,1e-08,2,0.1319058001215808,0.13718695005171397,0.13544138667150205,0.30337720333288115,in_fourier,swim
5,256,8,1e-08,4,0.14813878812032005,0.15278378328082035,0.15006904222719067,0.5264885456611713,in_fourier,swim
6,256,8,1e-06,1,0.020999745842801606,0.02148992977757223,0.02113861191832035,0.21512869900713363,in_fourier,swim
7,256,8,1e-06,2,0.1296947335431816,0.13419611818585891,0.1325455759933674,0.3132009282708168,in_fourier,swim
8,256,8,1e-06,4,0.1914547007274203,0.19742829686922636,0.19394343556352622,0.5134613898893198,in_fourier,swim
9,256,16,1e-10,1,0.011000645630952608,0.01151928634579578,0.011355740349637726,0.25021350601067144,in_fourier,swim
10,256,16,1e-10,2,0.12766815759897843,0.13194814274312805,0.1318313468984272,0.3087486221144597,in_fourier,swim
11,256,16,1e-10,4,0.1745470016885475,0.17992641249172314,0.1770161663437008,0.5259967961659034,in_fourier,swim
12,256,16,1e-08,1,0.011608080131892162,0.012173116501353698,0.011994104352431515,0.24551224211851755,in_fourier,swim
13,256,16,1e-08,2,0.1287572208243861,0.13407719367346374,0.13357076790453734,0.3516099515060584,in_fourier,swim
14,256,16,1e-08,4,0.15618592926677352,0.16166561338007643,0.15875502478834483,0.5565874548628926,in_fourier,swim
15,256,16,1e-06,1,0.020680871790268257,0.02119534764906737,0.020792314817084264,0.22196797685076794,in_fourier,swim
16,256,16,1e-06,2,0.1324513273407571,0.13736782918248128,0.1364111261921319,0.3411002814148863,in_fourier,swim
17,256,16,1e-06,4,0.17108493246542322,0.17559040615751098,0.17221868753342187,0.5599252445002397,in_fourier,swim
18,256,32,1e-10,1,0.011317819993395825,0.011835169631760166,0.011666951703680045,0.2656360600764553,in_fourier,swim
19,256,32,1e-10,2,0.12608007837712779,0.13138905560543676,0.13016281026130316,0.3405429658790429,in_fourier,swim
20,256,32,1e-10,4,0.1628116855629054,0.16777399139842397,0.1653594052724394,0.5618415366237363,in_fourier,swim
21,256,32,1e-08,1,0.01147980132654574,0.01204152356044335,0.011829012622593643,0.2356236201400558,in_fourier,swim
22,256,32,1e-08,2,0.12109585646823702,0.12600747101631826,0.12460344110812428,0.37301104857275885,in_fourier,swim
23,256,32,1e-08,4,0.15269523131703897,0.15753245111394956,0.15521624621892102,0.5749307932953039,in_fourier,swim
24,256,32,1e-06,1,0.021016183122287434,0.02151028630723746,0.021220373524921583,0.24916229955852032,in_fourier,swim
25,256,32,1e-06,2,0.12682184642328528,0.13238539228436255,0.13023283487613777,0.3461237621183197,in_fourier,swim
26,256,32,1e-06,4,0.16706176095521663,0.17211194415351552,0.17004539495228824,0.5535059385001659,in_fourier,swim
27,512,8,1e-10,1,0.00544508884001179,0.006012181050314129,0.005900324842588788,0.3856512748946746,in_fourier,swim
28,512,8,1e-10,2,0.062438459243585626,0.06821411695345096,0.0671490724087105,0.5862219911068678,in_fourier,swim
