,n_hidden_channels,n_modes,learning_rate,n_layers,batch_size,train_rel_l2,val_rel_l2,test_rel_l2,time_spent,architecture,method
0,16,8,0.0001,1,64,0.01486992154960279,0.014670559651321835,0.014832462337281969,1208.4417448493962,fno,adam
1,16,8,0.0001,2,64,0.004100091331534915,0.004025844943192271,0.0041596084369553464,1740.57878771207,fno,adam
2,16,8,0.0001,4,64,0.0020147700867167227,0.0020014892402622432,0.002123907167878416,2829.5469634247324,fno,adam
3,16,8,0.0005,1,64,0.013404610179088734,0.013238673037952847,0.013227698935402765,1264.2580418124173,fno,adam
4,16,8,0.0005,2,64,0.003387404751998407,0.003402517957819833,0.0034210458886292246,1709.8046410785366,fno,adam
5,16,8,0.0005,4,64,0.0013898272972415993,0.0013947872759567366,0.001412459034886625,2905.0690475562587,fno,adam
6,16,8,0.001,1,64,0.013267993220576535,0.013096125947104562,0.013063108166058858,1237.4255547076464,fno,adam
7,16,8,0.001,2,64,0.001877357952296734,0.0018581176143553522,0.001890761678417524,1876.3582670018077,fno,adam
8,16,8,0.001,4,64,0.0010895051735418813,0.0011084255331920252,0.001124767205781407,2409.9991428327435,fno,adam
9,16,8,0.005,1,64,0.013090976662105985,0.012919028911325667,0.012873091558615365,638.7636424501737,fno,adam
10,16,8,0.005,2,64,0.0014821194058491124,0.0015021113492548466,0.001504946280684736,1691.3810627668474,fno,adam
11,16,8,0.005,4,64,0.0009349936064056777,0.0009720927642451392,0.0009850274274746577,2981.3013247360163,fno,adam
12,16,16,0.0001,1,64,0.003654321290276669,0.003602155143188106,0.003819827588068114,1428.3550289664418,fno,adam
13,16,16,0.0001,2,64,0.0017921598822706276,0.001738311683966054,0.0018893567269874945,1881.8106620882947,fno,adam
14,16,16,0.0001,4,64,0.000671745367417181,0.0006396017618891266,0.0007092500858836703,3429.026021979749,fno,adam
15,16,16,0.0005,1,64,0.0018866115397325267,0.0018769242059853341,0.0019435995378428033,1383.8818062186863,fno,adam
16,16,16,0.0005,2,64,0.0005956674353392036,0.000595357939393984,0.0006221495101021396,1789.388705804323,fno,adam
17,16,16,0.0005,4,64,0.0005043232015989446,0.0004968153099632926,0.0005293061201357179,3429.947859470112,fno,adam
18,16,16,0.001,1,64,0.001328376251652285,0.0013115118551585408,0.0013664578278031615,1239.640627714495,fno,adam
19,16,16,0.001,2,64,0.0005513601597674466,0.0005438791076756186,0.0005700209923088551,1907.452567764558,fno,adam
20,16,16,0.001,4,64,0.00043440402730333586,0.0004423950333148241,0.00045015296712517736,3210.735796268719,fno,adam
21,16,16,0.005,1,64,0.0006892573716187918,0.0006931416470971373,0.0007098031495180395,1128.7405351201694,fno,adam
22,16,16,0.005,2,64,0.00039667564175195163,0.0004022072170757585,0.0004081427339050505,1365.55478216925,fno,adam
23,16,16,0.005,4,64,0.00036807010005469675,0.00038299564996527297,0.00038515813358955915,3088.537478144591,fno,adam
24,16,32,0.0001,1,64,0.004173068167986693,0.004097626272175047,0.0043508227782117,1345.8886498125892,fno,adam
25,16,32,0.0001,2,64,0.0013614698852653857,0.0013345723532968096,0.0014576167054474356,1863.8138582287356,fno,adam
26,16,32,0.0001,4,64,0.0009485537591907713,0.0009118586563401752,0.000992595191217131,3466.589147933448,fno,adam
