,architecture,input_dim,layer_width,n_layers,n_modes,regularization_scale,train_rel_l2,val_rel_l2,test_rel_l2,time_spent,seed
0,deeponet_swim,256,256,1,32,1e-10,0.009917967776367432,0.010440153828954512,0.010271326415840507,3.351871787570417,634383430
1,deeponet_swim,256,512,1,32,1e-06,0.011150887280739038,0.011646043605569867,0.011524928308766714,3.6300990264862776,485275395
2,deeponet_swim,256,4096,1,8,1e-10,0.020645005736186148,0.020507227428552065,0.02016856441103682,19.274590391665697,596756663
3,deeponet_swim,256,4096,1,8,1e-08,0.020646130092208205,0.020522148064565666,0.020186730031115357,20.358590342104435,498641823
4,deeponet_swim,256,4096,1,8,1e-06,0.02066963002912401,0.020596423482009945,0.020274016894262243,20.86844202131033,405150957
5,deeponet_swim,256,4096,1,16,1e-10,0.0005344146763558846,0.0008280555190639348,0.00085073358251211,20.20565398875624,429678827
6,deeponet_swim,256,4096,1,16,1e-08,0.0006580464577963389,0.001079517875138695,0.0010995114842533146,21.6167350448668,377578645
7,deeponet_swim,256,4096,1,16,1e-06,0.0014222574540314822,0.0020791959222627287,0.0020831640927209912,20.331671143881977,921539924
8,deeponet_swim,256,4096,1,32,1e-10,0.0003064007365082071,0.0008695113992411709,0.0009001293195030264,21.014992907643318,415567941
9,deeponet_swim,256,4096,1,32,1e-08,0.0004931566213167335,0.0010600419780437296,0.0010714270853261138,21.956541238352656,593873733
10,deeponet_swim,256,4096,1,32,1e-06,0.0013465070330639926,0.0020551950230385412,0.002051367455444914,21.47303176857531,434301499
11,deeponet_swim,256,4096,2,8,1e-10,0.020656928334094965,0.020636482096891593,0.02030198414027576,24.66736393608153,874414422
12,deeponet_swim,256,4096,2,8,1e-08,0.02074303444716304,0.020872627547048637,0.020527472752638512,23.815892825834453,709020761
13,deeponet_swim,256,4096,2,8,1e-06,0.021512379615822554,0.021873797632949485,0.021556608819664994,23.45576427783817,705484617
14,deeponet_swim,256,4096,2,16,1e-10,0.0010603927877031198,0.0023976051097528836,0.002370275141246329,23.651664146222174,520932625
15,deeponet_swim,256,4096,2,16,1e-08,0.002225113892866522,0.003780766462915961,0.0037526707951653186,24.078098577447236,141539155
