,architecture,input_dim,layer_width,n_layers,regularization_scale,train_rel_l2,val_rel_l2,test_rel_l2,time_spent,seed
0,fcn_swim,256,1024,2,1e-10,0.007235101479073273,0.008750255425206454,0.008661366951770668,1.720403197221458,48749974
1,fcn_swim,256,2048,1,1e-06,0.001713937326091982,0.0024038982494927258,0.0024189088459436073,3.6214157678186893,208781250
2,fcn_swim,256,4096,1,1e-10,0.000275551950497402,0.0008861713355510335,0.0009169077474889693,17.328066676855087,69874027
3,fcn_swim,256,4096,1,1e-08,0.0004270988515555535,0.001016244529763641,0.0010440922535981283,18.77876077592373,841681032
4,fcn_swim,256,4096,1,1e-06,0.001193654882389749,0.0019161634060078257,0.0019299553643104075,18.28213278297335,258595279
5,fcn_swim,256,4096,2,1e-10,0.0009067241061614462,0.0025570066084935686,0.0025675473125027714,22.08755192067474,963097218
6,fcn_swim,256,4096,2,1e-08,0.002014586122503287,0.003773698164140594,0.0037541264513976788,22.408000930212438,670750756
7,fcn_swim,256,4096,2,1e-06,0.005673523793449265,0.007361492430737716,0.00727843840437329,21.68653572257608,922510813
8,fcn_swim,256,4096,4,1e-10,0.01708459186669543,0.03335860157243544,0.03270821223504188,27.25309624709189,322554167
9,fcn_swim,256,4096,4,1e-08,0.03235472329946122,0.0446389142017048,0.04367725325535027,26.01675779465586,430452864
10,fcn_swim,256,4096,4,1e-06,0.0685592400848703,0.07676709445164415,0.07541135076113874,24.62073325458914,402856747
11,fcn_swim,256,1024,4,1e-10,0.0486934452339227,0.05543603359124563,0.05396282779600288,2.3884063996374607,364158063
12,fcn_swim,256,4096,1,1e-10,0.00027153808191584313,0.0008863491860436546,0.0009074553528986596,19.611930411309004,481839053
13,fcn_swim,256,4096,1,1e-08,0.0004313439708289864,0.0010404897216408618,0.0010582174205115012,22.720463594421744,416200185
14,fcn_swim,256,4096,1,1e-06,0.0011512910386429864,0.0018775719730394554,0.0019016455364344435,20.819334039464593,12927449
15,fcn_swim,256,4096,2,1e-10,0.0009174001992748914,0.0025437377852685432,0.002546569134579112,23.78086274024099,494631018
16,fcn_swim,256,4096,2,1e-08,0.0019178125763414725,0.0036532530312578942,0.0036151364276230734,22.116894975304604,270117647
17,fcn_swim,256,4096,2,1e-06,0.005729563572467168,0.007411851875616561,0.007273124078010555,23.096872069872916,465055215
18,fcn_swim,256,4096,4,1e-10,0.016548909680716775,0.03192927265325496,0.030932474700036218,26.712387647479773,298072648
19,fcn_swim,256,4096,4,1e-08,0.03385761908447146,0.045684644812212974,0.045284839074719606,26.55938680563122,691529113
20,fcn_swim,256,4096,4,1e-06,0.0660291576279926,0.07435039772287122,0.07248839032029623,26.549848360940814,422965649
21,fcn_swim,256,4096,1,1e-10,0.00027195725571987916,0.0008913992370124735,0.0009220101748818509,23.10651868674904,771787435
22,fcn_swim,256,256,2,1e-08,0.028561629759030028,0.02950330936492648,0.02891113756478791,0.465870994143188,87645482
23,fcn_swim,256,4096,1,1e-08,0.00043125391883105626,0.0010376299531652,0.0010645273955611993,18.743635108694434,951244138
24,fcn_swim,256,4096,1,1e-06,0.0011494644073366377,0.0018461547320330052,0.0018597833987645102,20.952243863604963,235840890
25,fcn_swim,256,4096,2,1e-10,0.0009510617587024207,0.0026589411681300157,0.0026517283476457476,23.03718093689531,37365955
26,fcn_swim,256,4096,2,1e-08,0.0019668511631413138,0.003714376803938337,0.003668885245348195,24.9098882349208,562795337
27,fcn_swim,256,4096,2,1e-06,0.005638582376520732,0.007397746711317374,0.007311335986105338,23.960409425199032,57830144
28,fcn_swim,256,4096,4,1e-10,0.017129446084676148,0.03402027960203255,0.03348760940997878,29.28623653948307,824686651
29,fcn_swim,256,4096,4,1e-08,0.0318224670110725,0.04345266532495462,0.042538431375963054,25.72211534064263,699396358
30,fcn_swim,256,4096,4,1e-06,0.06450133560480063,0.0720815217264342,0.07056546387268396,27.004695063456893,843594483
31,fcn_swim,256,2048,4,1e-06,0.06775501299402513,0.07474702166271378,0.07322247728957879,5.868737128563225,39036825
32,fcn_swim,256,512,2,1e-06,0.015373241843808033,0.016684948455623808,0.01649524541185217,0.7550281370058656,188855792
33,fcn_swim,256,256,2,1e-06,0.026716236586880427,0.027519848547710172,0.02743389329899647,0.4347447892650962,804333085
34,fcn_swim,256,2048,2,1e-08,0.0032391619547338856,0.0049649127083827745,0.004857273149694023,4.405616380274296,699655559
35,fcn_swim,256,512,4,1e-10,0.06965429477670476,0.07420339949174039,0.0729678560958792,1.352205766364932,745264475
36,fcn_swim,256,512,1,1e-06,0.006002452019346477,0.006629067167489,0.006543816897887685,0.559319106861949,165808010
37,fcn_swim,256,2048,2,1e-10,0.0030325485494313445,0.0046694283400800975,0.004688847232958933,4.353091511875391,159344794
38,fcn_swim,256,2048,4,1e-08,0.0351716588820334,0.0448839087989243,0.04441650757838136,5.889276296831667,514178741
39,fcn_swim,256,1024,2,1e-08,0.007147925829945091,0.008638601126268755,0.008588658002012892,1.7476363833993673,95286950
40,fcn_swim,256,1024,4,1e-06,0.06910956098780302,0.07493539080721669,0.07316134364708674,2.3183123683556914,930846864
41,fcn_swim,256,2048,2,1e-08,0.003028662768179934,0.004599913018784125,0.004547368362393974,4.30359707493335,270265038
42,fcn_swim,256,512,1,1e-08,0.005670874444792273,0.006306707520204571,0.006258977063657814,0.7276787320151925,493678671
43,fcn_swim,256,2048,2,1e-06,0.006968596402943669,0.008693220168262721,0.008612363138734433,4.20543962251395,753471432
44,fcn_swim,256,512,1,1e-06,0.006246089623698262,0.006923295932548191,0.0068482894904770145,0.6788967661559582,79249778
45,fcn_swim,256,2048,4,1e-10,0.0266425883477408,0.03791442278676384,0.03728735712954301,6.408215677365661,709360113
46,fcn_swim,256,1024,1,1e-08,0.0025092632808696013,0.003135619327724982,0.0031020714349035915,1.505338441580534,203132042
47,fcn_swim,256,1024,2,1e-10,0.007209227592586945,0.008716192676690958,0.0085542132876543,2.06519515812397,188132786
48,fcn_swim,256,2048,4,1e-10,0.028083888449593482,0.0395801861803265,0.03852472567033627,6.199545247480273,505493624
