,n_hidden_channels,n_modes,regularization_scale,n_layers,layer_width,train_rel_l2,val_rel_l2,test_rel_l2,time_spent,architecture,method
235,32,32,1e-10,4,256,0.013154048458370074,0.013788197153025102,0.013546533434476432,69.92716174914192,fno,swim
236,32,32,1e-10,4,512,0.006013536714683161,0.006712560179030882,0.006671673883588171,123.88960467496265,fno,swim
237,32,32,1e-10,4,1024,0.0025161627038188476,0.0032548845006952123,0.0032294654380932153,227.97769133094698,fno,swim
238,32,32,1e-10,4,2048,0.0008414200664411761,0.001446218819468609,0.0014543429503683215,527.9608243362358,fno,swim
239,32,32,1e-10,4,4096,0.0002827148724342413,0.0009218383627820678,0.0009535174780938605,1948.6655427040532,fno,swim
240,32,32,1e-08,1,256,0.013716670992363582,0.01427006491591882,0.014245507228052184,15.458721969587108,fno,swim
241,32,32,1e-08,1,512,0.005902158975096762,0.006581549598382915,0.006517356107502405,26.372553062004346,fno,swim
242,32,32,1e-08,1,1024,0.0025339900289935925,0.003203040392001198,0.0031746941090406906,53.79441866620133,fno,swim
243,32,32,1e-08,1,2048,0.0008588032039457753,0.0014518814838538785,0.0014426856969973001,121.32576870980363,fno,swim
244,32,32,1e-08,1,4096,0.00044565923586639466,0.0010653305564520578,0.0010800506046467493,403.3978743599728,fno,swim
245,32,32,1e-08,2,256,0.01336740694007145,0.014006068876176057,0.013940635828186202,35.539395570134126,fno,swim
246,32,32,1e-08,2,512,0.005893552055910713,0.006560772028302107,0.006488430242693841,57.111108073964715,fno,swim
247,32,32,1e-08,2,1024,0.0024452772622397282,0.003105107520863407,0.0030863346339106354,111.1054772157222,fno,swim
248,32,32,1e-08,2,2048,0.0008738249077778747,0.0014744208789043694,0.001479504583279413,254.32096017089984,fno,swim
249,32,32,1e-08,2,4096,0.00044337909349419447,0.0010669696309830634,0.0010874415481100695,779.8044499453778,fno,swim
250,32,32,1e-08,4,256,0.013429228506618393,0.014049795387652185,0.014089007223238479,73.95966148314376,fno,swim
251,32,32,1e-08,4,512,0.005932081920719351,0.0066009944130963,0.006556179563231752,122.08809819227706,fno,swim
252,32,32,1e-08,4,1024,0.0025290853149453813,0.00327280201635078,0.0032423057219446694,230.479986914744,fno,swim
253,32,32,1e-08,4,2048,0.0008768019728203464,0.0014821452923365758,0.0014823375627847895,523.0058035682887,fno,swim
254,32,32,1e-08,4,4096,0.0004387516131439635,0.0010568115251687,0.0010720482418814681,2055.6238838536665,fno,swim
255,32,32,1e-06,1,256,0.01361810341204211,0.01428029510811433,0.014091442413475637,16.593621679271262,fno,swim
256,32,32,1e-06,1,512,0.0059314651800427476,0.006595368437406606,0.006540215183400602,26.292341120230656,fno,swim
257,32,32,1e-06,1,1024,0.0029869780354010813,0.00366743938550031,0.003647782850256583,52.60644958602885,fno,swim
258,32,32,1e-06,1,2048,0.0016884431285457378,0.0023718532299309455,0.002362967969702612,121.14903007665028,fno,swim
259,32,32,1e-06,1,4096,0.0011827426689287061,0.001910361488782373,0.0019122978665023864,405.0245710716893,fno,swim
260,32,32,1e-06,2,256,0.01347244323717458,0.014127473983179116,0.014019002654236187,35.08828355589261,fno,swim
261,32,32,1e-06,2,512,0.005928323217247113,0.006557140088107707,0.00651853996785992,56.92199389760693,fno,swim
262,32,32,1e-06,2,1024,0.0028613857530385583,0.0035233680746605983,0.0035172937709824627,111.94674833274136,fno,swim
263,32,32,1e-06,2,2048,0.0016714371043379112,0.0023555068444049043,0.0023618634909572315,255.563884367235,fno,swim
264,32,32,1e-06,2,4096,0.0011831198742896392,0.0019337681388773694,0.0019469046016536316,818.7270594636599,fno,swim
265,32,32,1e-06,4,256,0.013217211826983453,0.013911414792294479,0.013699968451380141,73.57176304515451,fno,swim
266,32,32,1e-06,4,512,0.006113649787966992,0.006784532732566952,0.006739987897084413,117.9533535387988,fno,swim
267,32,32,1e-06,4,1024,0.003001114626066795,0.00374457612061656,0.003739654036107118,223.92665021338811,fno,swim
268,32,32,1e-06,4,2048,0.0018259587279234601,0.0027092942079197397,0.0027069767631040117,504.6201093945031,fno,swim
269,32,32,1e-06,4,4096,0.001234297780742505,0.0020723727433296104,0.0020836335038423087,2052.5826702633253,fno,swim
